逸す,626
の,20333165
に,11685120
は,11157474
を,10149132
て,10136482
が,9930047
だ,9545762
た,8550400
する,8411569
と,7386503
ます,4804894
で,4618423
いる,4206227
ない,4100724
も,3923442
ある,3495383
です,2866806
こと,2797563
か,2307174
なる,2102930
れる,2095330
から,1974450
よう,1332510
ん,1311350
う,1228019
いう,1223840
人,1193300
この,1120107
的,1095252
その,1092681
思う,1084201
という,1061951
年,919326
もの,890205
や,869352
ば,861872
私,850942
日,782292
それ,763198
者,740731
できる,736669
これ,716405
くる,614407
として,599614
言う,577033
たい,560001
られる,559863
まで,555454
など,549553
中,532961
さん,520422
月,518052
ため,511552
へ,499932
ね,497368
お,490688
見る,479723
いく,472196
について,467595
そう,448002
だけ,439585
てる,436053
何,431359
一,431295
ので,429721
自分,419019
おる,417482
方,413818
しまう,406302
よ,404292
考える,396420
時,391981
問題,389345
また,387252
せる,384099
ぬ,378997
でも,345246
今,343617
たち,340297
みる,337781
やる,333512
ところ,327238
ござる,316164
性,310576
さ,307809
わけ,306892
いい,305373
第,293492
必要,287543
会,286433
前,280874
そして,280368
どう,277369
行く,276957
より,276759
たり,275187
時間,272106
出る,271768
しかし,270011
書く,263034
持つ,261061
化,260574
場合,258759
行う,258221
情報,250596
二,250455
って,250010
けど,248577
ご,248260
し,248041
とき,235277
上,229627
よい,228188
話,224970
円,224477
使う,223220
事,222961
ここ,220473
委員,217032
ながら,216839
本,215851
な,215676
多い,214997
くれる,214447
社会,212239
気,211737
目,209845
関係,209222
知る,205490
良い,203311
べし,201804
いただく,199904
分,198104
後,197358
世界,196607
そういう,195953
家,195933
研究,193972
じゃ,191880
わかる,189615
によって,188687
もう,187345
等,186911
かも,186601
点,186583
聞く,186067
来る,186036
十,185800
入る,184509
今日,183165
同じ,181603
国,181432
彼,178377
読む,177057
数,175455
仕事,173551
コメント,171099
法,168222
くださる,167863
力,166332
万,166060
人間,163531
意味,163123
大,161879
以上,160842
回,159456
教育,153413
企業,152842
とか,152569
ほど,151404
よる,150668
けれども,149804
そんな,148226
作る,148075
可能,147874
三,147663
次,147460
現在,147181
間,145880
感じる,142829
他,142811
会社,141834
高い,141201
出す,140205
ちょっと,137819
す,137522
経済,136556
生活,136061
そこ,135416
による,134192
しれる,132343
受ける,131611
結果,131440
おく,130432
氏,130031
言葉,129593
今回,128801
非常,127474
度,126173
違う,125817
出来る,125796
において,125688
技術,124865
利用,124215
しか,124196
僕,124147
もらう,123354
得る,123127
ら,122700
手,122350
内容,122082
説明,122082
一つ,122040
先生,121784
